<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20070428;000000;256.5000000;257.6700000;255.5000000;257.4900000;8441365
20070502;000000;254.8800000;258.2900000;252.5400000;254.7000000;17551290
20070503;000000;255.4100000;256.3900000;253.8100000;254.3000000;10738498
20070504;000000;253.2300000;254.9700000;250.1000000;253.8200000;11815549
20070507;000000;254.0000000;256.6500000;253.5100000;254.5000000;14289186
20070508;000000;254.0000000;254.9500000;250.0500000;250.8800000;14897858
20070510;000000;251.9900000;253.8100000;246.0100000;247.7000000;25713604
20070511;000000;245.0000000;247.3100000;242.7000000;243.4800000;29718621
20070514;000000;245.8500000;247.0000000;239.2500000;242.7100000;26338782
20070515;000000;241.4900000;241.4900000;237.0700000;238.3000000;35469307
20070516;000000;239.3300000;246.0000000;233.2300000;245.8000000;37410211
20070517;000000;246.7400000;249.3000000;242.3100000;244.1900000;40335504
20070518;000000;246.0000000;249.1000000;244.2400000;248.7000000;30120576
20070521;000000;250.5200000;251.2000000;246.6100000;247.3900000;23687201
20070522;000000;248.0600000;248.6000000;243.7700000;247.5800000;23231152
20070523;000000;246.7200000;247.4800000;240.6000000;241.6000000;30958666
20070524;000000;239.2000000;240.0000000;232.3100000;237.1000000;44403878
20070525;000000;233.4000000;240.8000000;233.4000000;238.5000000;22659024
20070528;000000;240.3700000;240.6000000;231.8000000;234.2200000;22001002
20070529;000000;234.3400000;235.8800000;227.3700000;229.2500000;38613030
20070530;000000;225.8000000;229.3500000;222.6500000;227.9900000;39759275
20070531;000000;230.5300000;236.1500000;229.6000000;236.0000000;33069679
20070601;000000;236.9600000;245.5000000;233.6000000;244.8000000;75763844
20070604;000000;243.8000000;247.3000000;240.5000000;246.3000000;35502484
20070605;000000;246.0700000;251.4600000;246.0700000;247.0000000;43821890
20070606;000000;247.0700000;249.3900000;241.5800000;244.0000000;34837384
20070607;000000;242.5000000;246.7000000;240.6500000;241.2800000;43444854
20070608;000000;239.0000000;241.9800000;237.2600000;241.3000000;40527718
20070609;000000;242.1000000;243.9300000;240.5500000;243.0000000;17820884
20070613;000000;242.1000000;246.8700000;241.0100000;246.6400000;28092516
20070614;000000;249.5000000;257.8700000;248.3500000;257.7000000;78652293
20070615;000000;259.0000000;265.2000000;257.3000000;265.0000000;79340635
20070618;000000;266.5000000;268.4400000;264.0200000;264.8200000;56279203
20070619;000000;264.0100000;266.9700000;262.2900000;264.6900000;40883093
20070620;000000;266.2000000;269.4900000;264.8000000;268.2400000;55544404
20070621;000000;265.8000000;268.4400000;262.1000000;262.4000000;44373710
20070622;000000;263.2000000;265.3000000;261.1000000;262.9600000;32644058
20070625;000000;261.0000000;263.9900000;257.7000000;257.8800000;32346733
20070626;000000;259.0000000;262.5000000;256.5500000;261.9900000;52691672
20070627;000000;259.5000000;260.8700000;258.1800000;260.3400000;23755740
20070628;000000;263.5500000;266.6600000;263.0000000;264.5300000;46048254
20070629;000000;269.9900000;270.4000000;264.3000000;267.7400000;60072504
20070702;000000;267.9400000;275.1700000;267.0300000;272.1700000;80764317
20070703;000000;273.8000000;275.0000000;271.5000000;273.1200000;65113646
20070704;000000;273.4900000;273.4900000;270.0300000;270.4500000;27860378
20070705;000000;271.2000000;275.8900000;270.8000000;273.9500000;53295392
20070706;000000;273.2300000;275.0000000;271.7700000;274.8000000;34502114
20070709;000000;275.9000000;278.1800000;275.2500000;278.0000000;39543886
20070710;000000;273.9000000;276.5000000;272.0100000;273.0000000;37462046
20070711;000000;270.5000000;277.2800000;270.2500000;276.3000000;53384835
20070712;000000;278.0000000;284.7500000;277.8000000;284.7400000;76960215
20070713;000000;287.9000000;289.2800000;285.7500000;287.6700000;58859285
20070716;000000;287.0000000;292.9900000;285.3000000;292.0600000;69984676
20070717;000000;290.9000000;291.6800000;286.0500000;290.2500000;69708560
20070718;000000;287.3000000;288.8100000;283.1400000;286.4000000;55084103
20070719;000000;288.0000000;293.7100000;287.5000000;292.5100000;70500345
20070720;000000;293.1000000;294.4000000;289.5000000;291.2700000;51685255
20070723;000000;287.0000000;292.7500000;286.7000000;291.3200000;47515122
20070724;000000;291.7000000;292.5000000;283.2100000;283.3000000;45702161
20070725;000000;280.5500000;283.8000000;279.2700000;283.5000000;46496538
20070726;000000;284.5000000;285.2400000;273.0000000;273.5000000;68307217
20070727;000000;268.3000000;272.2500000;262.7000000;268.4000000;87150477
20070730;000000;268.3000000;273.7500000;266.5100000;271.6500000;66957417
20070731;000000;273.6700000;276.4500000;272.5500000;275.6000000;42904338
20070801;000000;270.1600000;271.1700000;264.7500000;269.9500000;57850345
20070802;000000;272.0000000;273.9000000;269.0400000;273.8000000;35797133
20070803;000000;274.6700000;279.1900000;272.8100000;277.3900000;60030554
20070806;000000;271.0300000;273.6600000;269.6000000;271.4700000;42545209
20070807;000000;272.9000000;275.5300000;271.8300000;273.2000000;27534933
20070808;000000;275.0800000;280.3500000;274.9900000;280.0300000;52036952
20070809;000000;282.2000000;282.4800000;270.5000000;271.9000000;64155911
20070810;000000;266.2700000;268.9700000;263.1200000;266.1300000;74241621
20070813;000000;269.8700000;271.5000000;267.5500000;270.8300000;35905676
20070814;000000;269.8300000;270.8000000;267.5800000;269.0100000;36117595
20070815;000000;264.8400000;265.8700000;262.8700000;263.7500000;31475124
20070816;000000;258.7500000;260.5500000;254.6500000;258.9500000;54943803
20070817;000000;256.8000000;264.6400000;251.8200000;263.9900000;75201634
20070820;000000;264.5000000;265.9000000;260.3600000;261.4900000;31660902
20070821;000000;262.4000000;263.0000000;254.0000000;258.8900000;55276490
20070822;000000;259.0000000;263.7800000;257.0000000;263.5600000;31406039
20070823;000000;265.0000000;267.2100000;263.3100000;264.1900000;37731188
20070824;000000;263.0000000;263.7900000;260.6200000;262.1900000;28741703
20070827;000000;264.9500000;266.9500000;264.3100000;265.1500000;28929145
20070828;000000;264.5000000;265.1000000;262.0100000;262.5000000;23048092
20070829;000000;258.5000000;261.7000000;257.8500000;261.5800000;38599677
20070830;000000;263.5000000;264.7900000;260.5000000;261.0100000;31283968
20070831;000000;263.0200000;266.5500000;263.0000000;265.8000000;34957247
20070903;000000;266.1100000;266.4000000;264.1500000;264.9200000;17066375
20070904;000000;264.0300000;264.6300000;262.0700000;263.0000000;26475998
20070905;000000;264.1000000;264.6700000;261.7900000;262.0000000;26171948
20070906;000000;262.5500000;266.9600000;262.5500000;266.6900000;38868141
20070907;000000;266.0000000;266.4800000;261.4000000;262.0200000;38682923
20070910;000000;260.2500000;262.2100000;260.0000000;260.9000000;26379910
20070911;000000;262.0500000;263.8900000;261.4500000;263.1900000;25804853
20070912;000000;264.2400000;264.6700000;260.8500000;262.0100000;38164667
20070913;000000;263.2000000;270.2500000;262.5500000;269.9800000;61889224
20070914;000000;270.4000000;270.8700000;266.7000000;268.1900000;52698176
20070917;000000;267.4700000;268.0900000;264.6000000;265.9000000;30702592
20070918;000000;266.2500000;269.3700000;265.5500000;268.0000000;49236379
20070919;000000;274.9900000;277.1400000;274.0800000;276.5400000;90768388
20070920;000000;275.7000000;275.8000000;272.3500000;274.0000000;62044475
20070921;000000;273.1200000;273.8800000;272.0200000;272.2500000;38757182
20070924;000000;273.0100000;274.2800000;270.8100000;273.0000000;59891501
20070925;000000;272.1000000;273.2100000;268.5600000;269.2000000;46595444
20070926;000000;270.8000000;273.6000000;270.3100000;273.5500000;36090602
20070927;000000;274.9000000;275.8000000;272.8000000;273.8000000;40181080
20070928;000000;275.0200000;275.4000000;272.3000000;274.2000000;30983943
20071001;000000;273.2500000;273.9800000;270.7700000;272.1200000;28573380
20071002;000000;275.6000000;282.5000000;275.2500000;282.3000000;79192296
20071003;000000;281.9000000;284.7700000;279.6000000;280.3000000;61998348
20071004;000000;279.0200000;284.8300000;278.7500000;283.7100000;51813302
20071005;000000;285.0600000;290.8600000;285.0000000;289.5000000;54339045
20071008;000000;293.0000000;293.7000000;290.1100000;292.0500000;61451733
20071009;000000;291.1000000;294.2000000;289.8000000;293.9800000;48628518
20071010;000000;295.0000000;295.6600000;291.3000000;292.0000000;41063712
20071011;000000;293.6000000;297.5000000;292.0500000;297.0000000;54070455
20071012;000000;293.0500000;294.7900000;292.0000000;293.4000000;38240402
20071015;000000;294.8000000;296.4500000;293.7800000;295.1400000;29224669
20071016;000000;294.7100000;295.5000000;292.3300000;293.1700000;35179300
20071017;000000;292.0000000;294.1700000;290.5200000;293.2000000;44385438
20071018;000000;293.8700000;294.0000000;289.7200000;290.4000000;37689793
20071019;000000;291.4900000;291.9000000;288.8000000;289.2500000;33722439
20071022;000000;283.5000000;286.0000000;282.6500000;284.4500000;37845718
20071023;000000;286.5000000;288.1000000;285.4000000;286.7000000;28196828
20071024;000000;286.7000000;286.7700000;283.1100000;284.1900000;24227869
20071025;000000;284.6200000;290.5000000;284.6000000;287.1500000;45941457
20071026;000000;290.0000000;295.2000000;289.5100000;295.0200000;54919273
20071029;000000;298.1200000;304.4500000;298.1100000;303.8000000;63953921
20071030;000000;302.4100000;305.1900000;300.3000000;304.7500000;51909678
20071031;000000;302.4500000;306.9900000;301.7100000;306.6800000;54699384
20071101;000000;308.4500000;315.4800000;301.9000000;305.4000000;130423782
20071102;000000;301.0000000;310.9500000;301.0000000;307.9200000;91277991
20071106;000000;308.5100000;316.3700000;308.5100000;315.0000000;79426649
20071107;000000;317.5500000;319.5500000;313.1000000;317.6100000;105971336
20071108;000000;313.5000000;323.7500000;312.5500000;323.2500000;114324479
20071109;000000;324.2900000;328.5000000;320.1400000;320.9300000;96473425
20071112;000000;319.5000000;325.7500000;317.5100000;321.1500000;74612553
20071113;000000;320.2200000;322.0000000;313.9200000;317.7000000;88670264
20071114;000000;320.9700000;322.3800000;317.3500000;320.7000000;76015356
20071115;000000;319.4200000;320.3000000;317.0000000;318.2000000;40274570
20071116;000000;316.5000000;317.4800000;311.5500000;313.2000000;47795581
20071119;000000;314.5800000;317.9000000;310.4100000;310.9500000;49924566
20071120;000000;312.0100000;314.8400000;308.0700000;313.2000000;61697474
20071121;000000;313.1000000;313.7000000;305.3800000;306.5000000;59892834
20071122;000000;307.0000000;308.4800000;302.1700000;308.1000000;45909995
20071123;000000;307.4000000;310.3600000;306.3100000;306.8000000;36133952
20071126;000000;310.0200000;312.2500000;308.1100000;311.0000000;37670114
20071127;000000;309.0900000;311.1300000;307.0100000;307.5500000;31338793
20071128;000000;307.5000000;311.6100000;304.7400000;311.4300000;44299070
20071129;000000;314.5200000;316.1000000;312.0100000;315.9000000;47057826
20071130;000000;317.2000000;323.7000000;316.5500000;323.3900000;71607973
20071203;000000;322.8900000;325.0900000;319.1200000;323.1100000;61964523
20071204;000000;323.8000000;330.2700000;323.5000000;329.0200000;83967299
20071205;000000;328.4500000;345.1000000;327.8500000;345.1000000;128516603
20071206;000000;346.2200000;349.4700000;342.0000000;343.7100000;123225284
20071207;000000;348.1000000;350.2400000;346.2300000;347.7000000;74152199
20071210;000000;346.5000000;357.9000000;343.6600000;354.9100000;126239357
20071211;000000;358.4000000;359.4000000;350.6400000;353.0000000;85579488
20071212;000000;348.9300000;358.1000000;348.2000000;357.2000000;80356356
20071213;000000;356.1300000;356.1700000;345.0000000;346.8500000;81991375
20071214;000000;346.9900000;350.6700000;340.0000000;342.7000000;64535513
20071217;000000;340.0000000;343.6500000;336.7100000;340.5000000;67663312
20071218;000000;340.9000000;349.5000000;340.5000000;349.2500000;69462425
20071219;000000;349.9000000;352.1900000;342.5100000;345.0600000;76904585
20071220;000000;348.9000000;352.8700000;348.0600000;352.0000000;61619963
20071221;000000;354.0000000;354.9500000;350.1100000;354.0000000;50274750
20071224;000000;355.9000000;356.0000000;351.6000000;351.7500000;28999651
20071225;000000;353.0000000;353.1800000;348.6600000;349.0000000;23621239
20071226;000000;349.1800000;350.5000000;345.2000000;347.6400000;26645438
20071227;000000;348.3100000;351.7700000;346.1500000;348.9900000;41847778
20071228;000000;348.4000000;348.7700000;341.8100000;342.8800000;32699306
20080109;000000;354.1000000;354.9000000;350.3400000;352.6900000;56176463
20080110;000000;353.5600000;355.4200000;352.0100000;352.4000000;31988712
20080111;000000;352.7500000;357.4300000;349.8100000;355.9100000;52439408
20080114;000000;355.2700000;365.6400000;353.7700000;363.7000000;61025689
20080115;000000;364.0000000;365.2000000;358.3900000;360.2400000;57301687
20080116;000000;354.8500000;354.9900000;337.6100000;342.4500000;106144575
20080117;000000;342.0000000;344.1200000;325.3200000;331.0400000;129120428
20080118;000000;326.4000000;331.7500000;322.0000000;327.0500000;94571904
20080121;000000;321.0000000;321.0000000;299.1400000;303.8000000;125448485
20080122;000000;289.0000000;323.7000000;281.6000000;307.0000000;186904176
20080123;000000;314.8900000;317.8000000;293.3800000;296.0000000;139957426
20080124;000000;310.1200000;311.3000000;303.0600000;307.2000000;112018056
20080125;000000;313.1000000;317.1800000;310.2500000;316.2300000;86383411
20080128;000000;305.5500000;308.8600000;303.2500000;305.3200000;65657860
20080129;000000;310.5000000;313.3000000;308.7000000;312.8300000;61449205
20080130;000000;310.9900000;311.0000000;305.1400000;305.9500000;54726112
20080131;000000;304.6000000;306.2000000;288.5000000;290.9500000;90720279
20080201;000000;297.0000000;309.3500000;295.3300000;305.2000000;96761719
20080204;000000;312.1000000;315.2000000;310.1300000;312.8800000;54037190
20080205;000000;312.0000000;318.5400000;300.5300000;302.4900000;84819425
20080206;000000;293.0000000;300.3000000;288.0000000;297.7000000;117378561
20080207;000000;296.5100000;298.0000000;283.2300000;289.0900000;90967687
20080208;000000;292.0400000;293.5000000;281.6000000;286.3100000;79981673
20080211;000000;286.1000000;294.2300000;283.1000000;292.2500000;67195091
20080212;000000;294.9700000;303.0000000;294.5100000;302.8200000;91852618
20080213;000000;301.9500000;309.0900000;296.0300000;307.8100000;88086676
20080214;000000;312.5000000;313.9000000;307.0200000;309.4500000;67927513
20080215;000000;309.6000000;313.7000000;304.5900000;305.5000000;70575252
20080218;000000;309.0000000;313.8500000;308.2500000;312.7500000;46706490
20080219;000000;314.9000000;319.1900000;307.7600000;318.9500000;101596051
20080220;000000;314.5000000;317.5000000;310.2300000;313.3000000;95653587
20080221;000000;318.8700000;322.0000000;317.6300000;319.2000000;66232030
20080222;000000;315.9100000;320.0000000;314.1100000;317.0500000;54226385
20080226;000000;321.0000000;321.1800000;314.1800000;316.5000000;43300353
20080227;000000;319.9000000;319.9000000;312.6200000;314.4700000;63081632
20080228;000000;313.1100000;315.3600000;309.5600000;310.5400000;57938497
20080229;000000;309.0000000;312.8900000;303.0000000;304.9500000;68439631
20080303;000000;298.2500000;303.3600000;295.3000000;301.2100000;67667742
20080304;000000;304.0300000;310.5000000;301.6000000;306.7000000;82535873
20080305;000000;306.4900000;309.1700000;303.5000000;307.3000000;62890004
20080306;000000;310.0000000;310.9500000;304.5000000;305.1100000;53222699
20080307;000000;301.0200000;301.9000000;297.0200000;298.6700000;54387521
20080311;000000;298.0800000;309.8800000;298.0000000;309.4900000;59100640
20080312;000000;312.2900000;313.0900000;306.8300000;310.1000000;74211636
20080313;000000;304.9800000;306.5000000;301.5100000;302.2500000;45986561
20080314;000000;304.7700000;310.9500000;300.6000000;303.9700000;70688461
20080317;000000;299.1100000;299.4100000;287.5200000;290.3500000;91922318
20080318;000000;292.3300000;296.4700000;289.0200000;296.4700000;66522421
20080319;000000;301.0000000;301.5100000;292.5500000;294.7700000;69079153
20080320;000000;287.9700000;291.2900000;284.5000000;288.0100000;78475161
20080321;000000;290.1000000;290.8000000;288.2000000;288.6500000;21478685
20080324;000000;289.8500000;298.0000000;287.3800000;297.6700000;30775032
20080325;000000;298.0000000;299.6400000;293.0000000;293.1400000;64873803
20080326;000000;294.1400000;296.8200000;292.0000000;292.6400000;36027816
20080327;000000;292.9800000;301.2700000;292.2000000;297.0200000;65518539
20080328;000000;298.2100000;302.5400000;298.2100000;298.8200000;41131954
20080331;000000;297.4800000;299.4400000;294.2100000;297.6100000;34038228
20080401;000000;297.5000000;302.2000000;294.7500000;299.6800000;47768869
20080402;000000;303.7000000;304.0000000;299.4800000;300.4900000;45364507
20080403;000000;301.4000000;302.9900000;296.9200000;297.2500000;35330235
20080404;000000;298.2000000;299.9100000;296.2500000;297.8100000;24072137
20080407;000000;300.5900000;306.4900000;300.5000000;305.6000000;35336210
20080408;000000;303.7800000;305.4500000;301.2000000;302.0000000;29884376
20080409;000000;301.3000000;310.2400000;301.2200000;308.9100000;47736028
20080410;000000;308.3000000;312.9000000;306.2000000;311.7000000;68418333
20080411;000000;313.5000000;317.0100000;307.2000000;307.2000000;90805105
20080414;000000;305.0000000;306.8900000;302.5700000;306.0700000;54572945
20080415;000000;307.8400000;311.3400000;305.7700000;310.4100000;54736620
20080416;000000;311.5100000;315.9800000;309.5000000;314.5300000;51179137
20080417;000000;316.7800000;318.4000000;308.6500000;309.6100000;67765043
20080418;000000;311.7900000;318.2100000;310.4100000;317.3300000;46586542
20080421;000000;318.7400000;319.8700000;314.0000000;314.2400000;49508768
20080422;000000;314.3500000;316.7800000;312.4700000;314.1000000;43740972
20080423;000000;314.9000000;318.2000000;312.1100000;315.5000000;61450435
20080424;000000;317.0900000;317.2200000;310.1200000;311.4000000;53756716
20080425;000000;312.0000000;314.3500000;310.5000000;314.2800000;33882304
20080428;000000;314.4000000;316.5000000;313.5600000;314.0000000;29626750
20080429;000000;314.2000000;314.4900000;311.9300000;312.0600000;22813147
20080430;000000;312.1500000;313.5000000;309.1600000;312.4900000;24275959
20080504;000000;315.0900000;316.7500000;313.5700000;316.0000000;14593392
20080505;000000;315.3900000;316.4500000;313.1100000;313.7000000;21740985
20080506;000000;314.5000000;317.6100000;314.3500000;316.5000000;33225105
20080507;000000;318.0000000;331.7000000;317.9000000;331.6000000;78246861
20080508;000000;329.3500000;350.4700000;328.6600000;349.3100000;110115617
20080512;000000;356.0000000;359.5000000;346.5300000;349.1500000;108606909
20080513;000000;350.0100000;354.2000000;345.2000000;349.4600000;64324657
20080514;000000;351.0000000;361.0000000;346.3400000;359.2400000;80991324
20080515;000000;361.0200000;365.3500000;350.5500000;352.2500000;93139598
20080516;000000;354.0000000;366.8000000;353.1200000;365.2600000;115928728
20080519;000000;367.0000000;368.9800000;361.3200000;367.4000000;69075355
20080520;000000;365.2500000;366.0100000;357.6200000;360.5000000;55078681
20080521;000000;358.6600000;366.7000000;358.2500000;365.0600000;53418764
20080522;000000;365.2500000;369.5000000;356.0500000;356.9500000;59579046
20080523;000000;356.5000000;363.6400000;354.1200000;363.5700000;60258247
20080526;000000;362.0000000;365.3700000;357.2000000;360.5000000;36962127
20080527;000000;362.3400000;364.5700000;352.8600000;353.9700000;54901840
20080528;000000;351.8700000;355.7500000;349.6800000;355.3700000;34905833
20080529;000000;357.5700000;363.0000000;356.1700000;361.0000000;54589781
20080530;000000;359.8800000;362.6000000;356.3600000;360.0900000;33116173
20080602;000000;359.0000000;360.3500000;354.9000000;356.0000000;30876058
20080603;000000;354.0000000;355.9000000;351.8000000;354.1200000;30412731
20080604;000000;351.7500000;352.7000000;339.5000000;342.5000000;57043988
20080605;000000;340.0000000;344.0000000;338.4800000;340.7700000;37106340
20080606;000000;346.1100000;349.6000000;342.6800000;345.3000000;43204753
20080607;000000;341.0000000;342.4000000;336.1000000;336.1400000;19960377
20080609;000000;337.4900000;341.9000000;336.1400000;339.1000000;31485066
20080610;000000;336.7700000;337.9900000;333.4000000;334.7000000;33089102
20080611;000000;335.5500000;343.1800000;335.1200000;343.0000000;26561822
20080616;000000;346.4800000;349.3700000;343.6000000;346.0000000;32133906
20080617;000000;345.6100000;351.8700000;345.6100000;351.1000000;35790582
20080618;000000;350.3500000;355.7000000;349.0000000;351.3000000;63767718
20080619;000000;349.0000000;353.7000000;347.1700000;350.6500000;41243634
20080620;000000;350.4900000;352.7400000;345.1000000;346.5100000;40482334
20080623;000000;345.7000000;349.7500000;341.7700000;344.0700000;34547520
20080624;000000;344.6000000;345.7300000;337.6400000;338.2000000;39715886
20080625;000000;338.3000000;344.8700000;336.8000000;340.5500000;45025799
20080626;000000;340.2000000;340.5900000;334.6700000;336.9000000;34916085
20080627;000000;332.0100000;343.1900000;330.1000000;340.9800000;56502186
20080630;000000;342.0800000;346.9000000;337.6100000;341.0000000;45520531
20080701;000000;339.0200000;340.4300000;326.7000000;327.0100000;53026670
20080702;000000;329.4700000;330.4000000;321.7500000;323.8100000;49752245
20080703;000000;319.9800000;324.5000000;315.7700000;322.1500000;51024132
20080704;000000;323.0100000;323.9900000;316.9000000;318.7000000;21131461
20080707;000000;320.2300000;323.7000000;318.2900000;318.7000000;23829160
20080708;000000;314.0000000;316.2400000;310.1400000;316.0900000;50571968
20080709;000000;316.4700000;317.5900000;311.6800000;312.4000000;32195146
20080710;000000;310.6000000;315.4900000;309.5300000;311.7400000;36387051
20080711;000000;313.8000000;316.4500000;304.7300000;305.1000000;41213674
20080714;000000;308.9000000;313.7000000;308.0000000;313.6900000;24822977
20080715;000000;309.9000000;310.0000000;303.0000000;305.0000000;33139546
20080716;000000;304.9900000;307.5000000;299.3300000;306.0200000;42671315
20080717;000000;308.3900000;312.3900000;303.9800000;311.6500000;41076697
20080718;000000;307.8200000;308.0000000;296.0500000;296.5000000;68551413
20080721;000000;299.0000000;300.7700000;292.7500000;295.5000000;45683548
20080722;000000;294.2800000;296.0900000;291.2700000;293.0100000;44807730
20080723;000000;294.6100000;296.0000000;287.8000000;289.0200000;56666441
20080724;000000;287.6700000;287.9500000;280.0100000;280.0300000;69726151
20080725;000000;272.7200000;273.3400000;262.2000000;269.3100000;85682625
20080728;000000;272.0000000;278.2800000;265.8900000;271.0200000;70304840
20080729;000000;266.0000000;275.3500000;263.5500000;273.0000000;57023134
20080730;000000;277.0900000;280.7000000;274.6500000;279.1000000;48957479
20080731;000000;281.5000000;286.3500000;275.8200000;277.8900000;64405109
20080801;000000;276.0000000;279.6800000;270.8900000;273.2200000;38519152
20080804;000000;271.5000000;273.1000000;263.0000000;263.4000000;35982931
20080805;000000;260.5000000;260.5000000;250.1100000;250.3000000;59301074
20080806;000000;253.6700000;256.5100000;241.2100000;250.0000000;69870780
20080807;000000;249.7500000;259.6800000;248.5100000;256.8500000;55845943
20080808;000000;255.1500000;255.8000000;241.2500000;243.4000000;70466454
20080811;000000;243.0000000;262.2000000;230.0200000;261.6800000;109334583
