Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,177.899994,178.789993,174.169998,176.460007,112.550385,6592984
2011-09-02,175.110001,176.300003,170.649994,172.990005,110.337143,6142667
2011-09-05,169.130005,170.669998,167.080002,169.009995,107.798584,5276959
2011-09-06,167.910004,171.520004,167.429993,169.470001,108.092010,6114161
2011-09-07,171.000000,174.449997,170.710007,172.389999,109.954445,5963747
2011-09-08,174.289993,175.979996,172.509995,174.089996,111.038742,5345751
2011-09-09,174.110001,174.199997,168.289993,171.320007,109.271973,6559879
2011-09-12,166.149994,166.880005,162.360001,164.619995,104.998543,6972097
2011-09-13,167.020004,167.899994,162.020004,164.770004,105.094223,7598742
2011-09-14,163.000000,167.729996,162.169998,165.750000,105.719292,6183041
2011-09-15,168.240005,170.050003,165.800003,167.729996,106.982178,9472658
2011-09-16,167.729996,167.919998,163.360001,165.100006,105.304710,5393711
2011-09-19,163.490005,165.740005,162.500000,163.949997,104.571213,5001343
2011-09-20,163.300003,166.850006,163.289993,165.660004,105.661896,5162120
2011-09-21,165.940002,167.250000,164.220001,165.550003,105.591728,4213727
2011-09-22,161.500000,161.669998,152.320007,156.729996,99.966118,10434176
2011-09-23,151.100006,153.330002,145.500000,149.899994,95.609787,17149588
2011-09-26,148.759995,156.639999,146.330002,153.330002,97.797531,14759743
2011-09-27,157.970001,158.949997,156.000000,157.429993,100.412582,5724521
2011-09-28,155.500000,156.289993,153.800003,155.089996,98.920082,6401554
2011-09-29,153.539993,160.199997,152.550003,156.910004,100.080933,6419650
2011-09-30,158.059998,158.779999,151.809998,154.880005,98.786156,8327477
2011-10-03,152.500000,154.830002,150.179993,152.820007,97.472237,6178928
2011-10-04,151.990005,155.179993,142.300003,148.580002,94.767853,9396052
2011-10-05,148.369995,148.399994,139.399994,144.000000,91.846626,8260119
2011-10-06,144.860001,151.399994,144.649994,149.110001,95.105911,8639856
2011-10-07,152.220001,153.139999,149.449997,151.380005,96.553764,7551668
2011-10-10,151.990005,154.949997,149.119995,151.380005,96.553764,5781297
2011-10-11,154.919998,155.199997,150.820007,152.649994,97.363800,6765219
2011-10-12,152.169998,161.699997,152.169998,158.029999,100.795280,8853642
2011-10-13,160.520004,164.520004,156.800003,160.009995,102.058182,9581212
2011-10-14,159.520004,163.800003,158.240005,161.399994,102.944748,7881527
2011-10-17,164.470001,168.360001,158.960007,163.250000,104.124733,10040636
2011-10-18,158.160004,163.789993,157.089996,160.020004,102.064560,8053904
2011-10-19,163.000000,164.740005,160.080002,162.580002,103.697411,7763026
2011-10-20,160.660004,164.500000,159.850006,162.080002,103.378471,5832988
2011-10-21,163.449997,166.199997,161.220001,163.550003,104.316086,4983210
2011-10-24,167.039993,170.449997,166.080002,168.059998,107.192657,6177425
2011-10-25,169.699997,171.009995,166.210007,168.940002,107.753952,6857633
2011-10-26,167.800003,179.500000,167.360001,174.889999,111.549011,13086632
2011-10-27,181.000000,187.389999,181.000000,184.779999,117.857079,12892975
2011-10-28,187.350006,190.240005,182.649994,186.199997,118.762802,9682009
2011-10-31,183.119995,184.100006,178.809998,179.449997,114.457474,60486888
2011-11-01,176.899994,178.300003,170.300003,175.110001,111.689323,105659360
2011-11-02,175.929993,183.869995,175.429993,182.410004,116.345436,130315152
2011-11-03,180.279999,185.429993,175.399994,183.199997,116.849304,127899200
2011-11-07,184.009995,184.699997,179.350006,184.240005,117.512665,81642792
2011-11-08,183.600006,185.779999,182.580002,183.500000,117.040649,69003376
2011-11-09,185.050003,185.100006,178.300003,181.289993,115.631073,101101032
2011-11-10,178.899994,184.960007,177.020004,183.300003,116.913094,83782632
2011-11-11,184.550003,184.600006,179.699997,183.649994,117.136330,57111752
2011-11-14,185.410004,186.449997,182.350006,183.000000,116.721779,56491448
2011-11-15,183.000000,186.500000,180.839996,185.600006,118.380119,92673456
2011-11-16,184.339996,189.720001,182.910004,187.600006,119.655746,91806336
2011-11-17,187.179993,188.869995,181.759995,184.649994,117.774162,96297960
2011-11-18,180.520004,182.389999,180.000000,180.429993,115.082550,57151560
2011-11-21,177.139999,177.289993,168.919998,169.740005,108.264206,80821960
2011-11-22,171.589996,173.779999,167.809998,169.199997,107.919785,72587936
2011-11-23,167.000000,171.949997,165.880005,167.899994,107.090599,85580176
2011-11-24,168.660004,169.559998,161.830002,161.830002,103.219025,41176912
2011-11-25,165.800003,166.690002,161.839996,165.550003,105.591728,63034920
2011-11-28,168.199997,172.130005,167.800003,172.130005,109.788628,61464272
2011-11-29,173.000000,173.990005,170.050003,170.050003,108.461937,55508512
2011-11-30,170.350006,175.869995,168.399994,175.399994,111.874283,85633040
2011-12-01,176.949997,184.399994,175.009995,181.399994,115.701233,137114896
2011-12-02,181.309998,186.690002,180.970001,183.389999,116.970505,114341824
2011-12-05,183.850006,185.449997,182.500000,184.500000,117.678490,44575880
2011-12-06,183.169998,184.449997,174.429993,175.279999,111.797752,106615968
2011-12-07,176.029999,176.690002,172.410004,174.630005,111.383171,101128360
2011-12-08,176.000000,179.919998,175.580002,176.960007,112.869308,87506360
2011-12-09,174.000000,174.000000,169.929993,169.929993,108.385384,91357392
2011-12-12,173.179993,173.500000,163.800003,164.419998,104.870995,80947880
2011-12-13,165.119995,168.149994,160.100006,166.660004,106.299721,93038848
2011-12-14,166.839996,170.460007,164.119995,165.000000,105.240921,81778848
2011-12-15,163.949997,172.179993,163.509995,170.899994,109.004066,100823200
2011-12-16,172.190002,173.410004,169.070007,169.399994,108.047333,64008752
2011-12-19,166.050003,179.613007,165.009995,166.300003,106.070114,267917312
2011-12-20,168.110001,172.910004,163.699997,172.550003,110.056496,290748832
2011-12-21,168.009995,192.947006,168.839996,169.779999,108.289734,292903808
2011-12-22,171.250000,196.949005,167.070007,170.820007,108.953072,287274016
2011-12-23,169.210007,178.520996,169.259995,169.710007,108.245094,3369260
2011-12-26,170.809998,171.529999,169.399994,171.529999,109.405922,275203232
2011-12-27,170.399994,172.000000,168.899994,170.750000,108.908417,279461312
2011-12-28,170.070007,171.490005,169.149994,169.470001,108.092010,252931488
2011-12-29,167.199997,170.600006,165.199997,170.600006,108.812737,256038384
2011-12-30,169.009995,218.511002,169.009995,171.360001,109.297478,211451
2012-01-10,177.279999,179.610001,177.279999,179.610001,114.559540,254488320
2012-01-11,176.110001,178.830002,176.229996,178.100006,113.596420,230102928
2012-01-12,178.449997,187.005005,177.740005,177.830002,113.424202,218604144
2012-01-13,178.250000,178.839996,177.009995,178.839996,114.068413,241147424
2012-01-16,177.160004,178.850006,176.050003,178.500000,113.851555,231074032
2012-01-17,178.009995,181.990005,180.039993,181.800003,115.956367,269258240
2012-01-18,180.020004,183.199997,180.009995,181.899994,116.020157,247858864
2012-01-19,184.009995,190.722000,177.000000,185.500000,118.316307,214995824
2012-01-20,183.880005,194.039993,11.664900,183.479996,117.027893,231847
2012-01-23,180.160004,184.339996,180.160004,184.339996,117.576439,220680
2012-01-24,184.279999,184.490005,155.294006,183.279999,116.900352,229330976
2012-01-25,183.399994,185.699997,139.197006,185.699997,118.443863,202349
2012-01-26,184.100006,186.270004,129.576996,157.343994,100.357735,202206
2012-01-27,183.929993,204.225998,157.811005,176.376999,112.497452,192939
2012-01-30,182.009995,202.432007,156.425003,156.425003,99.771584,186601
2012-01-31,182.460007,184.300003,154.895004,183.800003,117.232018,227722
2012-02-01,185.630005,201.729004,110.033997,174.220993,111.122292,184913
2012-02-02,185.960007,187.350006,157.274994,187.350006,119.496307,198708
2012-02-03,186.009995,189.699997,158.533005,189.699997,120.995171,186135
2012-02-06,189.000000,216.164993,93.985001,189.800003,121.058945,178809
2012-02-07,187.009995,254.520004,161.149994,180.110001,114.878426,200306
2012-02-08,189.000000,198.690994,51.805500,188.770004,120.402016,185833
2012-02-09,186.600006,199.248001,104.367996,188.789993,120.414757,162420480
2012-02-10,188.199997,198.419006,75.587997,188.160004,120.012924,170453
2012-02-13,190.699997,197.526001,150.496002,191.339996,122.041222,171288
2012-02-14,192.500000,193.250000,25.314800,192.070007,122.506836,180104
2012-02-15,192.229996,192.929993,105.638000,192.449997,122.749199,164574
2012-02-16,188.660004,222.399994,29.957701,163.580002,104.335213,162804
2012-02-17,189.210007,215.740005,170.225998,190.490005,121.499031,181860
2012-02-20,190.000000,200.014008,15.668300,161.914993,103.273232,180351
2012-02-21,189.000000,200.613007,9.553000,191.059998,121.862602,189254256
2012-02-22,186.309998,198.828003,66.734299,188.699997,120.357338,165515
2012-02-24,190.000000,217.005005,32.759300,173.600998,110.726830,155354
2012-02-27,193.360001,201.315994,159.136002,162.962997,103.941673,163314
2012-02-28,192.410004,203.615997,88.391197,184.223999,117.502457,166762
2012-02-29,185.000000,194.089996,96.290001,193.589996,123.476295,161394976
2012-03-01,192.500000,194.009995,96.794998,193.589996,123.476295,155549
2012-03-02,194.000000,195.889999,86.845497,194.710007,124.190659,160480
2012-03-05,197.399994,199.820007,75.998100,194.710007,124.190659,160131
2012-03-06,195.990005,207.815994,168.231995,197.919998,126.238091,167230768
2012-03-07,192.000000,234.750000,78.087997,195.220001,124.515953,148349
2012-03-12,196.080002,206.744995,167.363998,197.160004,125.753349,150700
2012-03-13,198.000000,207.018005,167.606003,197.160004,125.753349,149401
2012-03-14,197.699997,207.679993,158.231995,168.119003,107.230301,142916
2012-03-15,199.000000,208.707993,79.508003,199.210007,127.060875,159228
2012-03-16,198.330002,209.171005,198.330002,209.171005,133.414230,139631
2012-03-19,192.009995,208.016006,168.393005,198.110001,126.359283,151865
2012-03-20,185.300003,203.028000,59.941601,164.356003,104.830162,178541722
2012-03-21,187.009995,197.179993,28.168501,186.020004,118.647995,173229351
2012-03-22,183.000000,195.320999,0.740700,186.020004,118.647995,163174099
2012-03-23,179.399994,182.830002,127.586998,164.546997,104.951996,163094865
2012-03-26,182.000000,190.479996,90.705002,184.199997,117.487122,12098860
2012-03-27,185.759995,186.139999,182.520004,182.690002,116.524010,38837090
2012-03-28,182.000000,182.639999,179.509995,180.919998,115.395088,4705849
2012-03-29,179.809998,180.880005,176.330002,177.050003,112.926704,51208400
2012-03-30,179.429993,182.179993,179.199997,180.750000,115.286652,6369687
2012-04-02,182.199997,184.000000,180.369995,181.800003,115.956367,42949650
2012-04-03,183.000000,185.800003,182.600006,185.210007,118.131355,45942530
2012-04-04,183.320007,184.500000,180.500000,182.160004,116.185989,4837207
2012-04-05,181.750000,182.479996,178.320007,182.179993,116.198730,50635620
2012-04-06,182.570007,182.949997,177.800003,179.860001,114.718994,3095298
2012-04-09,178.000000,179.899994,176.210007,179.899994,114.744499,32779200
2012-04-10,179.869995,180.350006,176.300003,176.300003,112.448334,49363680
2012-04-11,175.500000,177.720001,174.500000,176.000000,112.256996,54130320
2012-04-12,176.699997,177.149994,173.570007,175.800003,112.129425,65948880
2012-04-13,176.660004,179.050003,176.119995,177.929993,113.487976,6959456
2012-04-16,177.000000,178.619995,174.309998,174.440002,111.261986,51951830
2012-04-17,174.759995,175.490005,169.059998,171.940002,109.667427,8891631
2012-04-18,172.279999,172.300003,169.020004,169.100006,107.856010,52738950
2012-04-19,169.889999,172.800003,169.160004,171.149994,109.163544,61822490
2012-04-20,171.000000,171.350006,169.660004,170.990005,109.061485,41325500
2012-04-23,171.300003,171.339996,166.050003,166.520004,106.210426,5293826
2012-04-24,167.470001,167.470001,163.389999,163.710007,104.418144,59921960
2012-04-25,164.979996,166.190002,164.210007,165.050003,105.272812,40353690
2012-04-26,165.500000,166.550003,163.800003,164.199997,104.730659,42719430
2012-04-27,164.139999,169.289993,163.500000,168.699997,107.600861,59367400
2012-05-02,168.699997,171.850006,167.070007,167.500000,106.835480,50901200
2012-05-03,167.750000,170.240005,166.750000,168.750000,107.632774,3867628
2012-05-04,168.479996,169.000000,162.100006,163.000000,103.965294,62683390
2012-05-07,161.500000,166.250000,160.309998,163.160004,104.067322,2469470
2012-05-08,166.000000,167.080002,164.070007,165.490005,111.694038,2456853
2012-05-10,165.490005,167.070007,163.199997,165.000000,111.363297,66882950
