Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
c631f52d-b533-5f1d-8ce8-f0241b4f95ab,Rewards,2023-07-09T23:28:34Z,XTZ,0.43469,0.352316245,Coinbase,,,
19e35153-7de8-506a-92ef-6d4e15a0d4a6,Rewards,2023-07-10T20:24:24Z,ETH2,0.001109057673,2.10228536263188,Coinbase,,,
39b047a8-4357-5641-a617-493b0d8402c7,Rewards,2023-07-10T20:29:20Z,DOT,0.0743821983,0.3866386667634,Coinbase,,,
44419f1e-0e3a-5c93-a5a0-a173b2204926,Rewards,2023-07-11T01:36:06Z,XTZ,0.450402,0.367978434,Coinbase,,,
ebf96f39-7823-51f5-ad8f-a32e5b4cc99a,Rewards,2023-07-11T20:21:11Z,SOL,0.01687,0.37156175,Coinbase,,,
03a65b38-19a5-5581-bd5c-c79b6b6005cd,Rewards,2023-07-11T22:53:06Z,DOT,0.0687868536,0.3576228518664,Coinbase,,,
9ae1d61d-5216-5fbf-bc3a-eee81afab343,Rewards,2023-07-12T02:56:57Z,SOL,0.016853943,0.370786746,Coinbase,,,
5600bb78-2012-5e92-b8c1-fb1fe6510b87,Rewards,2023-07-12T22:18:06Z,SOL,0.017306344,0.3803069094,Coinbase,,,
0819b9ce-5401-5789-8c93-2474df2b8534,Rewards,2023-07-12T22:42:33Z,SOL,0.016469356,0.36207879166,Coinbase,,,
8d346111-7f06-55a4-a476-352ff49f9f3e,Rewards,2023-07-13T04:31:11Z,SOL,0.016498284,0.35454812316,Coinbase,,,
f8f5e5f4-6665-52fa-bb18-3161824a4b4d,Converted from,2023-07-13T08:03:42Z,,,,,SWFTC,118205,154.1077001625
9d3d7d36-e17f-59b6-831f-dbc3400ec3db,Advanced trade trade,2023-07-13T08:03:42Z,USDC,154.84855,154.84855,Coinbase,,,
283dda8c-eaf8-5331-b585-57809b42831f,Converted from,2023-07-13T08:04:49Z,,,,,SWFTC,83232,108.59528736
af94628f-c400-5fa9-a95d-25f394f0abcd,Advanced trade trade,2023-07-13T08:04:49Z,USDC,109.03392,109.03392,Coinbase,,,
4edb2088-3c0a-5452-8097-f212d71b251c,Converted from,2023-07-13T08:22:13Z,,,,,SWFTC,31935,41.6984077125
9a2432b0-c0cb-5bab-9c64-fbe2f9c7f9cb,Advanced trade trade,2023-07-13T08:22:13Z,USDC,41.83485,41.83485,Coinbase,,,
10e6c5a4-4ae4-5223-b3c1-52d04b7bd0f8,Converted from,2023-07-13T08:37:23Z,,,,,SWFTC,116592,152.29553094
b49f160a-8038-5129-8d88-7d78824c31c7,Advanced trade trade,2023-07-13T08:37:23Z,USDC,152.73552,152.73552,Coinbase,,,
3857cfca-8f89-5448-a598-6c7fa6f654cb,Converted from,2023-07-13T16:44:02Z,,,,,USDC,459.15,459.15
a3c32d7d-b83a-5c1e-88f0-90746ad7f9b5,Converted to,2023-07-13T16:44:02Z,BCH,1.58586482,459.15,Coinbase,,,
3efed933-f6ad-5f1c-8c2d-618cf43bc149,Rewards,2023-07-13T20:03:13Z,ETH2,0.001133550151,2.267321344279445,Coinbase,,,
eb9303b8-08c8-5e0b-8108-c52ea504b2ae,Rewards,2023-07-13T20:51:27Z,DOT,0.0072340628,0.0396643663324,Coinbase,,,
e0bce739-ad1f-5be4-9947-35c39180baa6,Rewards,2023-07-13T21:00:38Z,DOT,0.0495515628,0.2709727211718,Coinbase,,,
2c60e249-7499-5bde-a5d6-97e6abd5428d,Rewards,2023-07-14T04:36:12Z,SOL,0.018425834,0.52817653161,Coinbase,,,
50f24142-981c-553e-a243-fdc3d61d7e79,Rewards,2023-07-14T04:40:14Z,SOL,0.018481914,0.53163225621,Coinbase,,,
5c398a08-288f-53cb-be05-83a120cb5fd5,Rewards,2023-07-14T20:26:33Z,DOT,0.0507977192,0.2715392079836,Coinbase,,,
2d3da2e5-bd06-5e35-9132-1cc1f20b80c9,Rewards,2023-07-15T10:16:15Z,SOL,0.009019645,0.260081463575,Coinbase,,,
9dc12498-ee52-53e9-b141-cb6d5a3bb359,Rewards,2023-07-15T12:54:04Z,XTZ,0.444999,0.398274105,Coinbase,,,
428fb8c9-3567-5f23-b5c9-63f62f94694d,Rewards,2023-07-15T17:09:01Z,ATOM,0.27513,2.67261282,Coinbase,,,
0d82aa12-d278-558a-8040-9ec8c02625aa,Rewards,2023-07-15T18:14:32Z,ATOM,0.005705,0.055538175,Coinbase,,,
608d3bb5-e05e-5cb1-b2b7-8bf2c4a5df12,Rewards,2023-07-15T20:23:44Z,DOT,0.0765696587,0.41665379781605,Coinbase,,,
fca73006-3783-5dd0-b60c-ec716aad49a8,Rewards,2023-07-15T22:49:32Z,SOL,0.004319681,0.118121676945,Coinbase,,,
aa1e487a-6d50-596c-a4ba-792dfa6bc353,Buy,2023-07-16T00:53:19Z,USDC,501.22,501.22,Coinbase,,,
cd5cfbb6-ae8b-5185-b1d6-e44ffc22100a,Converted from,2023-07-16T01:02:14Z,,,,,BCH,2.55,653.5850685
844d5102-0f5c-51c4-b0e2-87efbf29b72c,Converted from,2023-07-16T01:02:14Z,,,,,BCH,0.32971546,84.5086672586702
f9cecc3b-1ebd-504c-b4a6-79a3b7bb80a3,Advanced trade trade,2023-07-16T01:02:14Z,USDC,657.492,657.492,Coinbase,,,
1950a4ba-dacf-525a-9ef0-5a02611930b5,Converted from,2023-07-16T01:02:14Z,,,,,BCH,0.4411,113.057401457
dc340290-2853-54bd-b18a-d85887b87e9a,Advanced trade trade,2023-07-16T01:02:14Z,USDC,85.017131361,85.017131361,Coinbase,,,
1c66c69c-09ec-556f-98df-a5844ce05ab4,Converted from,2023-07-16T01:02:14Z,,,,,BCH,2.55,653.5850685
26b489e4-0e6a-5174-8e7e-e08bb4944554,Advanced trade trade,2023-07-16T01:02:14Z,USDC,113.733224,113.733224,Coinbase,,,
bac3ac49-f35e-53c9-af8c-488988f30a4d,Advanced trade trade,2023-07-16T01:02:14Z,USDC,657.594,657.594,Coinbase,,,
622be37b-b3ac-5b7d-be77-439614e00a97,Converted from,2023-07-16T01:02:15Z,,,,,BCH,0.18966,48.7053821556
b338663c-7959-5450-9fa3-876e0820f6f4,Advanced trade trade,2023-07-16T01:02:15Z,USDC,48.9019344,48.9019344,Coinbase,,,
14b8b80a-2515-5858-9984-33976696fc71,Converted from,2023-07-16T01:02:21Z,,,,,BCH,0.00000854,0.0021931032564
34831739-818d-5b2e-b54b-74826b2bf301,Advanced trade trade,2023-07-16T01:02:21Z,USDC,0.0022019536,0.0022019536,Coinbase,,,
cb28cc1c-9a35-5496-94f6-49ea7653ba38,Send,2023-07-16T01:06:06Z,,,,,USDC,500.07976,500.07976
4688e603-14f4-5d3e-a591-d3febb3e3248,Converted from,2023-07-16T01:07:54Z,,,,,USDC,26.2546,26.2546
82a79ea7-09ba-5c3c-986f-9f02e1eef41b,Advanced trade trade,2023-07-16T01:07:54Z,AUCTION,5,26.2546,Coinbase,,,
8711c63f-9a53-5376-bbe4-64b7dc70cb5b,Converted from,2023-07-16T01:07:54Z,,,,,USDC,36.75644,36.75644
43cbb79d-5adc-50e4-97b5-674f269445e8,Advanced trade trade,2023-07-16T01:07:54Z,AUCTION,7,36.75644,Coinbase,,,
ced3e9f9-54ec-5532-9757-8ef9e6e84991,Converted from,2023-07-16T01:07:55Z,,,,,USDC,21.00368,21.00368
29d725cc-05e4-5aa8-bec6-c65b3e608596,Advanced trade trade,2023-07-16T01:07:55Z,AUCTION,4,21.00368,Coinbase,,,
a3504662-3621-5a34-8ab1-5539db0d1f3e,Converted from,2023-07-16T01:07:55Z,,,,,USDC,21.00368,21.00368
11ee6ee5-3494-5800-b802-6a2d206284e2,Advanced trade trade,2023-07-16T01:07:55Z,AUCTION,4,21.00368,Coinbase,,,
30c67cdd-b419-5ad6-98a1-7fc4fdf8f5db,Converted from,2023-07-16T01:07:55Z,,,,,USDC,136.52392,136.52392
e8d88be2-55a1-5c48-a864-c2d8ad94e61e,Advanced trade trade,2023-07-16T01:07:55Z,AUCTION,26,136.52392,Coinbase,,,
3125b2a4-0c0b-5d96-b95b-06176fe9eb4e,Converted from,2023-07-16T01:07:55Z,,,,,USDC,136.52392,136.52392
dc013712-dee0-5b7b-97b2-f6943f48857f,Advanced trade trade,2023-07-16T01:07:55Z,AUCTION,26,136.52392,Coinbase,,,
fb721c96-c418-5d82-8c73-f5c05477b6f6,Converted from,2023-07-16T01:07:56Z,,,,,USDC,26.2546,26.2546
d6fb5ced-e579-5b40-a2ab-7041b55caf08,Advanced trade trade,2023-07-16T01:07:56Z,AUCTION,5,26.2546,Coinbase,,,
35e12a18-18d2-55ca-967b-1c482201bf99,Converted from,2023-07-16T01:07:57Z,,,,,USDC,26.2546,26.2546
9e678561-cb1a-507e-8bac-c685a0291569,Advanced trade trade,2023-07-16T01:07:57Z,AUCTION,5,26.3299,Coinbase,,,
9014af78-bd04-545e-852d-6ac7a37f6f7f,Converted from,2023-07-16T01:07:57Z,,,,,USDC,26.2546,26.2546
65f372d0-6980-5244-8b2e-cf67460a1dca,Advanced trade trade,2023-07-16T01:07:57Z,AUCTION,5,26.3299,Coinbase,,,
4bc78323-d72d-598d-b296-e60e63f2a04d,Converted from,2023-07-16T01:07:58Z,,,,,USDC,26.2546,26.2546
75206bc8-2e8c-5649-b85c-d3cb40a8d8db,Advanced trade trade,2023-07-16T01:07:58Z,AUCTION,5,26.3299,Coinbase,,,
1f76127f-9b1e-5ae7-804f-0ef265f4d967,Converted from,2023-07-16T01:07:58Z,,,,,USDC,2.45743056,2.45743056
b3f8dbec-5b27-5601-94cc-738919ceb201,Advanced trade trade,2023-07-16T01:07:58Z,AUCTION,0.468,2.46447864,Coinbase,,,
699c96d6-fb39-5890-877b-77c4de7661b3,Converted from,2023-07-16T01:09:02Z,,,,,USDC,578.02993812,578.02993812
5ce08bf1-4e1b-59ec-a49f-8f4a0238c996,Advanced trade trade,2023-07-16T01:09:02Z,COMP,7.659,578.87579808,Coinbase,,,
921119aa-e372-55b6-9e7f-31262956c51d,Converted from,2023-07-16T01:09:19Z,,,,,USDC,75.2920766219568,75.2920766219568
fb847251-87dd-52b5-b3fd-e3ace5d9ec47,Advanced trade trade,2023-07-16T01:09:19Z,LTC,0.78922446,75.296038528746,Coinbase,,,
272547ca-dfa9-551e-bb0c-f145341cf3d3,Converted from,2023-07-16T01:09:41Z,,,,,USDC,146.5397737004032,146.5397737004032
a534b1f4-92ab-52e8-b63a-dd2c72f07621,Advanced trade trade,2023-07-16T01:09:41Z,LTC,1.53605504,146.5551956930048,Coinbase,,,
25209b28-ad8b-5500-926e-6b47bf95bfa8,Converted from,2023-07-16T01:10:15Z,,,,,USDC,276.2978900941496,276.2978900941496
dd5772f9-2f7f-53a2-a0e2-3f99c8d3edfa,Advanced trade trade,2023-07-16T01:10:15Z,LTC,2.89620187,276.312429027537,Coinbase,,,
37a6291a-4672-5c03-be4d-f56372374129,Rewards,2023-07-16T13:59:33Z,XTZ,0.446383,0.3885764015,Coinbase,,,
9b62cec3-34b0-57f1-beb6-cb13f139b18c,Rewards,2023-07-16T18:41:22Z,SOL,0.018488923,0.512605390175,Coinbase,,,
7c662e3a-2a16-577c-8506-439dea3c725f,Rewards,2023-07-16T20:38:19Z,DOT,0.1138736113,0.60893913642675,Coinbase,,,
6cc17dee-3e61-583b-a8a9-2a6f6e79b1ed,Rewards,2023-07-17T17:40:27Z,ETH2,0.001145109966,2.17831978612248,Coinbase,,,
ec14739d-6d99-5e4e-8bc8-eb2f8322c2e3,Rewards,2023-07-17T20:44:21Z,DOT,0.0550293448,0.286702886408,Coinbase,,,
4233a695-7f02-59fa-9cad-2b99793e14ab,Rewards,2023-07-18T20:33:56Z,DOT,0.0577425356,0.2965656628416,Coinbase,,,
18ea6abd-664c-5483-900b-bca36b731c2b,Rewards,2023-07-18T20:43:37Z,DOT,0.0162007285,0.08352285578175,Coinbase,,,
d3945733-fa3e-5a1f-ab28-621ba5317685,Converted from,2023-07-19T03:56:39Z,,,,,AUCTION,1.03,4.847283
7a1befa3-5af0-5747-b9f8-c4aecb4e0daa,Advanced trade trade,2023-07-19T03:56:39Z,USDC,4.8719,4.8719,Coinbase,,,
c9088c71-cacc-5e8b-acb8-7fa1aae79cf3,Converted from,2023-07-19T04:23:45Z,,,,,AUCTION,0.211,0.99193632
22049b80-21d3-5c1e-afcc-fc35edf2a76f,Advanced trade trade,2023-07-19T04:23:45Z,USDC,0.99803,0.99803,Coinbase,,,
4931528a-9152-54f8-9baa-4341ff6d583a,Converted from,2023-07-19T04:23:51Z,,,,,AUCTION,0.211,0.9929871
f761e06a-45e7-528a-85e3-5ca1856f749d,Advanced trade trade,2023-07-19T04:23:51Z,USDC,0.99803,0.99803,Coinbase,,,
2812af4b-2459-54a9-a247-644b2efd16f9,Converted from,2023-07-19T05:06:08Z,,,,,AUCTION,0.211,0.9929871
d292a01e-8316-501e-b14a-223d3c46d2ea,Advanced trade trade,2023-07-19T05:06:08Z,USDC,0.99803,0.99803,Coinbase,,,
8cd00c9c-7236-57f5-92db-965cb4e96952,Converted from,2023-07-19T05:16:31Z,,,,,AUCTION,0.211,0.9929871
dd77f638-a78a-506b-885d-284c3f56da33,Advanced trade trade,2023-07-19T05:16:31Z,USDC,0.99803,0.99803,Coinbase,,,
35797314-ff2b-509f-acfb-36693a3960e1,Converted from,2023-07-19T05:20:08Z,,,,,AUCTION,3.894,18.3255534
bdedeb42-924a-5eb7-b99d-cda287cdab45,Advanced trade trade,2023-07-19T05:20:08Z,USDC,18.41862,18.41862,Coinbase,,,
8155876b-c031-5ad3-a00f-b470f2bc6ea2,Converted from,2023-07-19T05:51:45Z,,,,,AUCTION,0.211,0.9929871
d5795fb5-fcca-5227-a4e9-a5f92e3a672f,Advanced trade trade,2023-07-19T05:51:45Z,USDC,0.99803,0.99803,Coinbase,,,
fd19e13c-10b9-5c16-9491-8c9f097500ab,Converted from,2023-07-19T05:53:54Z,,,,,AUCTION,0.206,0.9694566
aaf0a8ff-0c7d-51c4-a570-83324d0b4084,Advanced trade trade,2023-07-19T05:53:54Z,USDC,0.97438,0.97438,Coinbase,,,
7c4d0277-8953-5fed-8d3a-64ac252b289b,Converted from,2023-07-19T05:59:43Z,,,,,AUCTION,0.211,0.9929871
654cb60a-4ec9-5889-ad06-807d5891a65f,Advanced trade trade,2023-07-19T05:59:43Z,USDC,0.99803,0.99803,Coinbase,,,
84bfa32a-afcc-58ed-9b24-a423e3321970,Rewards,2023-07-19T16:54:48Z,ETH2,0.001127429099,2.144578720681315,Coinbase,,,
a37b2d9d-8dd1-5661-a199-91d39e0b3db1,Rewards,2023-07-19T22:37:22Z,DOT,0.0586826267,0.3040933715594,Coinbase,,,
841eaab8-6ebb-55b5-8fb3-941d8d8e6100,Rewards,2023-07-20T00:38:18Z,SOL,0.018308218,0.48269616757,Coinbase,,,
7f7e389f-45d7-58de-8076-c8fb176635f2,Rewards,2023-07-20T00:59:31Z,SOL,0.018490793,0.488989020885,Coinbase,,,
